,0
392,Lipids_POS_1586.1137_317.0006_479.0446
393,Lipids_POS_882.7042_376.7486_336.2463
394,Lipids_POS_674.4405_221.0342_271.0161
395,Lipids_POS_777.5747_292.4530_306.6051
396,Lipids_POS_988.7709_395.2159_359.2620
397,Lipids_POS_1632.4649_482.5564_449.0079
398,Lipids_NEG_841.6399_363.3218_322.3569
399,Lipids_NEG_581.1037_356.5285_233.2696
400,Lipids_POS_687.5681_397.2169_307.8358
401,Lipids_POS_1608.2259_355.0665_493.8040
402,Lipids_NEG_504.2724_167.7389_225.0261
403,Lipids_POS_433.0041_532.0511_183.0754
404,Lipids_POS_739.6336_392.1011_327.8562
405,Lipids_POS_1179.7793_307.8793_378.8928
406,Lipids_POS_565.4033_275.7478_272.2999
407,Lipids_NEG_876.6843_409.7320_333.7067
408,Lipids_NEG_552.3302_147.3271_249.8133
409,Lipids_POS_805.6200_327.8077_314.5423
410,Lipids_POS_689.5001_319.9103_282.7900
411,Lipids_NEG_958.6873_380.2640_341.7719
412,Lipids_POS_1345.2471_462.1643_471.1935
413,Lipids_POS_550.9109_531.9531_195.0027
414,Lipids_NEG_763.6083_428.5455_299.6950
415,Lipids_POS_787.3759_351.6453_306.0371
416,Lipids_NEG_216.1132_37.2201_151.7815
417,Lipids_POS_715.5731_323.1920_295.4071
418,Lipids_NEG_399.2201_44.8586_212.5533
419,Lipids_NEG_476.2780_162.2291_219.2461
420,Lipids_POS_810.5980_304.1418_314.3671
421,Lipids_POS_761.6209_377.3741_323.6972
422,Lipids_POS_553.3678_342.8855_253.3734
423,Lipids_NEG_898.5775_333.2530_331.3715
424,Lipids_POS_144.1020_34.4087_127.4118
425,Lipids_NEG_749.5333_338.7833_289.2252
426,Lipids_NEG_728.5236_346.7196_282.5218
427,Lipids_POS_1648.3400_388.0155_520.8702
428,Lipids_POS_1293.2158_464.9787_452.7165
429,Lipids_NEG_859.5335_309.8701_308.2752
430,Lipids_NEG_718.5387_346.4271_280.4870
431,Lipids_POS_743.2393_319.3254_266.0208
432,Lipids_POS_875.7428_397.5847_338.5202
433,Lipids_POS_723.5500_289.8195_289.5339
434,Lipids_NEG_716.4497_233.1639_283.9634
435,Lipids_POS_898.8571_481.5380_352.8826
436,Lipids_POS_316.2481_61.2145_194.5405
437,Lipids_NEG_915.7287_403.6455_338.9814
438,Lipids_POS_957.7855_453.3775_354.8487
439,Lipids_NEG_964.7707_407.9690_349.3359
440,Lipids_POS_868.7333_386.2419_334.9049
441,Lipids_POS_603.5336_376.4088_274.5791
442,Lipids_NEG_564.3306_159.2347_246.9704
443,Lipids_NEG_1025.1616_399.8998_313.9863
444,Lipids_NEG_941.7419_404.9393_342.6957
445,Lipids_POS_768.5530_352.3433_294.2516
446,Lipids_NEG_792.5539_357.4075_298.2444
447,Lipids_POS_671.5751_400.9453_301.9914
448,Lipids_NEG_893.7358_465.6843_335.5717
449,Lipids_POS_993.8570_459.4975_365.6872
450,Lipids_POS_466.3286_228.4799_229.5790
451,Lipids_NEG_889.6995_409.5465_337.4181
452,Lipids_NEG_714.5062_293.3170_285.4693
453,Lipids_POS_773.4398_261.4998_287.8658
454,Lipids_POS_858.6677_360.1877_327.4821
455,Lipids_NEG_932.6728_374.4853_334.6757
456,Lipids_POS_920.7895_444.8152_350.0526
